OTU	ASVs
OTU783	ASV1370, ASV1399, ASV1548, ASV1767, ASV1796, ASV2557, ASV3074, ASV3119, ASV3392, ASV3408, ASV3452, ASV3724, ASV4012, ASV5881, ASV7042, ASV10812
OTU784	ASV1371, ASV2636
OTU785	ASV1373
OTU786	ASV1374
OTU787	ASV1378, ASV2039, ASV6714
OTU788	ASV1380, ASV1426
OTU789	ASV1381, ASV8614, ASV9642
OTU790	ASV1382, ASV5227, ASV6164
OTU791	ASV1386, ASV6277
OTU792	ASV1390, ASV2308, ASV3080, ASV3653, ASV11997
OTU793	ASV1393
OTU794	ASV1395
OTU795	ASV1396, ASV1735
OTU796	ASV1400, ASV1637, ASV1851, ASV3454, ASV3978, ASV4106, ASV4365, ASV7397, ASV10711
OTU797	ASV1401, ASV8887
OTU798	ASV1402, ASV10694
OTU799	ASV1404
OTU800	ASV1407, ASV7494
OTU801	ASV1408
OTU802	ASV1409, ASV11523
OTU803	ASV1410, ASV6392, ASV6843
OTU804	ASV1411, ASV8282, ASV10828
OTU805	ASV1412, ASV4719, ASV12020
OTU806	ASV1414
OTU807	ASV1415, ASV8030, ASV9357, ASV11639
OTU808	ASV1416
OTU809	ASV1419
OTU810	ASV1421
OTU811	ASV1424
OTU812	ASV1425
OTU813	ASV1433, ASV4237
OTU814	ASV1435
OTU815	ASV1436, ASV10444, ASV11474
OTU816	ASV1437
OTU817	ASV1439, ASV10998
OTU818	ASV1442
OTU819	ASV1443
OTU820	ASV1444, ASV5186, ASV6055
OTU821	ASV1445
OTU822	ASV1447
OTU823	ASV1448, ASV11689
OTU824	ASV1449
OTU825	ASV1450
OTU826	ASV1451
OTU827	ASV1454
OTU828	ASV1455
OTU829	ASV1456
OTU830	ASV1457, ASV1709, ASV1907, ASV2176, ASV2285, ASV3004, ASV7470, ASV8405, ASV8709
OTU831	ASV1460
OTU832	ASV1461
OTU833	ASV1462, ASV3586, ASV6557
OTU834	ASV1464
OTU835	ASV1465, ASV2752, ASV10177
OTU836	ASV1467
OTU837	ASV1469
OTU838	ASV1470, ASV1666, ASV6748, ASV8109
OTU839	ASV1472, ASV2002, ASV3130, ASV3288
OTU840	ASV1474
OTU841	ASV1477, ASV3893
OTU842	ASV1483
OTU843	ASV1485, ASV10121
OTU844	ASV1486, ASV4856, ASV11552
OTU845	ASV1489
OTU846	ASV1490, ASV4376, ASV10076, ASV10283
OTU847	ASV1491
OTU848	ASV1492, ASV2245, ASV3902, ASV4104, ASV4786, ASV5672, ASV6774, ASV7221, ASV7504, ASV7658, ASV7811, ASV8240, ASV9526, ASV11321, ASV11448
OTU849	ASV1493
OTU850	ASV1494, ASV2723, ASV4697
OTU851	ASV1495, ASV1880, ASV2394, ASV3237
OTU852	ASV1502
OTU853	ASV1503
OTU854	ASV1504, ASV1840
OTU855	ASV1506
OTU856	ASV1508, ASV6663
OTU857	ASV1509
OTU858	ASV1510, ASV2692, ASV4917, ASV7591, ASV9863
OTU859	ASV1513, ASV3277, ASV7655, ASV9441, ASV9731
OTU860	ASV1516, ASV2836
OTU861	ASV1517
OTU862	ASV1519, ASV6704, ASV6849
OTU863	ASV1522, ASV7230
OTU864	ASV1523
OTU865	ASV1524, ASV1732, ASV4094
OTU866	ASV1525, ASV11598
OTU867	ASV1527
OTU868	ASV1535, ASV6259
OTU869	ASV1536, ASV4262
OTU870	ASV1539, ASV4679
OTU871	ASV1541
OTU872	ASV1544
OTU873	ASV1545, ASV3663, ASV5277
OTU874	ASV1546, ASV10239
OTU875	ASV1549, ASV10024
OTU876	ASV1556, ASV1621, ASV2676, ASV3937, ASV4235, ASV6691, ASV6824, ASV7802, ASV8682, ASV9054, ASV9130, ASV9361, ASV9627, ASV10696
OTU877	ASV1558, ASV8053, ASV11394
OTU878	ASV1559, ASV2299, ASV5764, ASV11873
OTU879	ASV1560
OTU880	ASV1561, ASV1986
OTU881	ASV1564, ASV11718
OTU882	ASV1567
OTU883	ASV1569, ASV7344, ASV9559, ASV11005
OTU884	ASV1570, ASV3651
OTU885	ASV1572
OTU886	ASV1573
OTU887	ASV1575
OTU888	ASV1578, ASV7999, ASV11611
OTU889	ASV1582, ASV7717, ASV12009
OTU890	ASV1583
OTU891	ASV1585
OTU892	ASV1586, ASV8809, ASV9413
OTU893	ASV1588
OTU894	ASV1589
OTU895	ASV1590, ASV11822
OTU896	ASV1591
OTU897	ASV1593, ASV1766, ASV9535
OTU898	ASV1596, ASV4393, ASV6072, ASV10883
OTU899	ASV1597, ASV4821, ASV8322
OTU900	ASV1598, ASV4335
OTU901	ASV1602, ASV3879, ASV6553, ASV9909
OTU902	ASV1603
OTU903	ASV1604, ASV2247, ASV2703, ASV3976, ASV7650, ASV7838, ASV8731
OTU904	ASV1605, ASV1700, ASV2270, ASV2335, ASV3749, ASV4324, ASV4561, ASV4685, ASV5819, ASV7477
OTU905	ASV1607, ASV5398, ASV6386, ASV10645
OTU906	ASV1609, ASV3966, ASV6987
OTU907	ASV1610, ASV3693, ASV5418
OTU908	ASV1611
OTU909	ASV1612, ASV7107
OTU910	ASV1616
OTU911	ASV1617, ASV11464
OTU912	ASV1619, ASV2669, ASV8267
OTU913	ASV1622, ASV2283, ASV2996, ASV3057, ASV3997, ASV4576, ASV5750, ASV6159, ASV6904
OTU914	ASV1624, ASV1928, ASV2192, ASV2452, ASV3695, ASV4462, ASV5328
OTU915	ASV1626
OTU916	ASV1627
OTU917	ASV1629, ASV5325, ASV5464, ASV9491, ASV10940, ASV11022, ASV11143
OTU918	ASV1633
OTU919	ASV1636
OTU920	ASV1638, ASV7872
OTU921	ASV1641, ASV2929
OTU922	ASV1642
OTU923	ASV1643, ASV2775, ASV3165, ASV4353, ASV4715, ASV6070
OTU924	ASV1644
OTU925	ASV1646, ASV9066
OTU926	ASV1647, ASV4264, ASV5894, ASV7112, ASV8331
OTU927	ASV1649
OTU928	ASV1650, ASV7847
OTU929	ASV1651, ASV2612, ASV6871
OTU930	ASV1652, ASV2331, ASV7739, ASV8473, ASV8531, ASV9783, ASV10045
OTU931	ASV1653, ASV2213, ASV2872, ASV2959, ASV5877, ASV6015, ASV6263, ASV7992, ASV8269, ASV10290, ASV11034, ASV11192
OTU932	ASV1654
OTU933	ASV1659
OTU934	ASV1660
OTU935	ASV1663
OTU936	ASV1667, ASV3664, ASV5066, ASV6703, ASV8948, ASV10829
OTU937	ASV1668
OTU938	ASV1669
OTU939	ASV1671, ASV2664, ASV7294, ASV8512, ASV11021
OTU940	ASV1675, ASV10202
OTU941	ASV1677
OTU942	ASV1678
OTU943	ASV1679
OTU944	ASV1680
OTU945	ASV1682
OTU946	ASV1684
OTU947	ASV1686, ASV2203, ASV6590, ASV9768
OTU948	ASV1687, ASV7859
OTU949	ASV1688, ASV2559, ASV7451, ASV8925, ASV11116
OTU950	ASV1691, ASV2863
OTU951	ASV1693
OTU952	ASV1694
OTU953	ASV1695, ASV2154, ASV2512, ASV3244, ASV7320
OTU954	ASV1696
OTU955	ASV1697, ASV5809, ASV8864
OTU956	ASV1698
OTU957	ASV1699
OTU958	ASV1702, ASV8640
OTU959	ASV1704
OTU960	ASV1711
OTU961	ASV1712, ASV1887, ASV10108, ASV11713
OTU962	ASV1713
OTU963	ASV1715
OTU964	ASV1718, ASV10568
OTU965	ASV1719
OTU966	ASV1720, ASV4530, ASV9068, ASV11516
OTU967	ASV1722, ASV1802, ASV1927, ASV2003, ASV2012, ASV2062, ASV2167, ASV2357, ASV2467, ASV2483, ASV2655, ASV4431
OTU968	ASV1723, ASV5489
OTU969	ASV1724, ASV4543, ASV4636, ASV4937, ASV10445
OTU970	ASV1726
OTU971	ASV1728, ASV5131
OTU972	ASV1730, ASV9415
OTU973	ASV1731, ASV3095
OTU974	ASV1733, ASV2681, ASV4362
OTU975	ASV1734, ASV11269
OTU976	ASV1736, ASV6323, ASV11521
OTU977	ASV1737, ASV4075
OTU978	ASV1738
OTU979	ASV1739, ASV3557, ASV5685
OTU980	ASV1740, ASV8082
OTU981	ASV1743, ASV2638, ASV2847, ASV4179, ASV10869
OTU982	ASV1747
OTU983	ASV1749
OTU984	ASV1750, ASV1815, ASV6144, ASV9723
OTU985	ASV1751, ASV3459
OTU986	ASV1752, ASV2514, ASV7204
OTU987	ASV1755, ASV10458
OTU988	ASV1757
OTU989	ASV1758
OTU990	ASV1759, ASV7147, ASV10767
OTU991	ASV1761, ASV3228, ASV9789, ASV10067, ASV10732, ASV11335
OTU992	ASV1764, ASV4746, ASV8977
OTU993	ASV1770
OTU994	ASV1772
OTU995	ASV1773
OTU996	ASV1774, ASV2745
OTU997	ASV1776
OTU998	ASV1778, ASV3327
OTU999	ASV1779, ASV2423
OTU1000	ASV1780
OTU1001	ASV1783
OTU1002	ASV1784
OTU1003	ASV1785
OTU1004	ASV1789
OTU1005	ASV1790, ASV7172
OTU1006	ASV1791
OTU1007	ASV1792, ASV2079, ASV4019
OTU1008	ASV1794, ASV3200
OTU1009	ASV1795, ASV10140
OTU1010	ASV1797, ASV4868
OTU1011	ASV1798, ASV4366, ASV8251
OTU1012	ASV1799, ASV3627, ASV4363, ASV6852, ASV10423
OTU1013	ASV1801
OTU1014	ASV1805
OTU1015	ASV1807, ASV4907
OTU1016	ASV1808, ASV5072
OTU1017	ASV1809
OTU1018	ASV1811
OTU1019	ASV1820
OTU1020	ASV1822, ASV8308
OTU1021	ASV1823, ASV2040, ASV3923, ASV9613
OTU1022	ASV1824, ASV5466, ASV6048, ASV7804, ASV11368
OTU1023	ASV1826, ASV3798, ASV5130, ASV5443
OTU1024	ASV1827, ASV3059, ASV9779
OTU1025	ASV1828, ASV8291
OTU1026	ASV1829, ASV3266, ASV4624, ASV8584, ASV10522, ASV10805
OTU1027	ASV1830
OTU1028	ASV1831
OTU1029	ASV1832
OTU1030	ASV1833
OTU1031	ASV1836, ASV4633, ASV6302, ASV7480
OTU1032	ASV1838, ASV9717
OTU1033	ASV1839
OTU1034	ASV1841, ASV5612, ASV7904
OTU1035	ASV1843
OTU1036	ASV1844, ASV3209, ASV3236, ASV3714, ASV5975, ASV6765, ASV8026, ASV8260, ASV8916
OTU1037	ASV1845
OTU1038	ASV1846, ASV2379, ASV2967, ASV4544, ASV5512, ASV5629, ASV6296, ASV7934, ASV10693
OTU1039	ASV1847, ASV6090
OTU1040	ASV1850, ASV2241
OTU1041	ASV1852
OTU1042	ASV1854
OTU1043	ASV1855, ASV6730, ASV10993
OTU1044	ASV1857, ASV2553, ASV4804, ASV5297, ASV6979, ASV10317
OTU1045	ASV1859
OTU1046	ASV1860
OTU1047	ASV1862, ASV5472, ASV6633, ASV11514
OTU1048	ASV1864
OTU1049	ASV1867, ASV9347, ASV9411
OTU1050	ASV1868, ASV2128, ASV2134, ASV3541, ASV3827, ASV4609, ASV5055, ASV5261, ASV5543, ASV5945, ASV6586, ASV6844, ASV7415, ASV8342, ASV9311
OTU1051	ASV1873
OTU1052	ASV1874, ASV2226, ASV2239, ASV2344, ASV2656, ASV2711, ASV3259
OTU1053	ASV1876, ASV8895, ASV11230
OTU1054	ASV1877, ASV6896, ASV8707, ASV8945
OTU1055	ASV1878
OTU1056	ASV1881, ASV9712
OTU1057	ASV1882
OTU1058	ASV1883
OTU1059	ASV1884
OTU1060	ASV1885
OTU1061	ASV1888, ASV4299, ASV4661, ASV8162, ASV11848
OTU1062	ASV1889, ASV7974
OTU1063	ASV1890, ASV1891
OTU1064	ASV1893, ASV6783, ASV8861, ASV10892
OTU1065	ASV1894
OTU1066	ASV1895, ASV2190, ASV10186, ASV10383, ASV10734
OTU1067	ASV1896
OTU1068	ASV1897, ASV3661
OTU1069	ASV1898
OTU1070	ASV1899
OTU1071	ASV1900
OTU1072	ASV1901
OTU1073	ASV1902, ASV1980, ASV2396
OTU1074	ASV1903
OTU1075	ASV1906, ASV6497, ASV6672
OTU1076	ASV1909, ASV7312, ASV9876, ASV10550
OTU1077	ASV1910
OTU1078	ASV1915, ASV2333, ASV6178
OTU1079	ASV1923
OTU1080	ASV1924, ASV5262
OTU1081	ASV1925, ASV5298, ASV7478, ASV9488
OTU1082	ASV1926
OTU1083	ASV1932
OTU1084	ASV1935, ASV2982, ASV3987, ASV5083, ASV5748, ASV8575, ASV9245, ASV10240
OTU1085	ASV1937, ASV8673
OTU1086	ASV1938
OTU1087	ASV1941
OTU1088	ASV1942
OTU1089	ASV1943
OTU1090	ASV1946
OTU1091	ASV1949, ASV7561, ASV8083, ASV11653
OTU1092	ASV1950, ASV3032, ASV3566, ASV3833
OTU1093	ASV1956, ASV7087
OTU1094	ASV1958
OTU1095	ASV1959, ASV9975
OTU1096	ASV1960
OTU1097	ASV1961
OTU1098	ASV1962
OTU1099	ASV1966
OTU1100	ASV1968
OTU1101	ASV1969
OTU1102	ASV1970, ASV4662, ASV8170, ASV8982, ASV10046
OTU1103	ASV1973, ASV4211
OTU1104	ASV1974
OTU1105	ASV1975
OTU1106	ASV1976
OTU1107	ASV1981
OTU1108	ASV1984
OTU1109	ASV1985
OTU1110	ASV1987
OTU1111	ASV1990
OTU1112	ASV1992
OTU1113	ASV1995
OTU1114	ASV1996, ASV4733
OTU1115	ASV1998
OTU1116	ASV1999
OTU1117	ASV2000, ASV2564, ASV5121, ASV9099, ASV10398
OTU1118	ASV2004, ASV2577, ASV10285
OTU1119	ASV2005
OTU1120	ASV2006
OTU1121	ASV2011
OTU1122	ASV2016
OTU1123	ASV2019, ASV10020, ASV10809, ASV10965, ASV11747
OTU1124	ASV2025, ASV2734, ASV6395
OTU1125	ASV2030
OTU1126	ASV2031, ASV2057
OTU1127	ASV2032
OTU1128	ASV2033
OTU1129	ASV2035, ASV7395
OTU1130	ASV2037
OTU1131	ASV2038, ASV2505
OTU1132	ASV2041, ASV9368, ASV9753
OTU1133	ASV2044
OTU1134	ASV2051
OTU1135	ASV2052
OTU1136	ASV2055
OTU1137	ASV2058
OTU1138	ASV2060
OTU1139	ASV2063
OTU1140	ASV2064
OTU1141	ASV2065, ASV8611, ASV11277
OTU1142	ASV2066, ASV9540
OTU1143	ASV2067, ASV2542, ASV4085, ASV4608, ASV5704, ASV6821, ASV9128
OTU1144	ASV2069
OTU1145	ASV2070, ASV6448
OTU1146	ASV2071, ASV2705, ASV3242, ASV5024, ASV5726, ASV6391, ASV7799, ASV9327, ASV9334
OTU1147	ASV2081
OTU1148	ASV2082
OTU1149	ASV2083
OTU1150	ASV2084
OTU1151	ASV2085, ASV3812, ASV11271
OTU1152	ASV2086, ASV2431, ASV5326, ASV5762, ASV7286, ASV10301
OTU1153	ASV2088
OTU1154	ASV2089, ASV3685, ASV7030
OTU1155	ASV2090, ASV8407
OTU1156	ASV2091
OTU1157	ASV2092
OTU1158	ASV2093
OTU1159	ASV2095, ASV7442
OTU1160	ASV2096, ASV3731, ASV8540, ASV8845, ASV9561, ASV10621
OTU1161	ASV2098, ASV2205
OTU1162	ASV2099
OTU1163	ASV2100
OTU1164	ASV2101
OTU1165	ASV2102, ASV4909, ASV9932
OTU1166	ASV2105, ASV11263
OTU1167	ASV2107, ASV4330, ASV4818
OTU1168	ASV2108
OTU1169	ASV2109, ASV7671
OTU1170	ASV2111
OTU1171	ASV2112, ASV3628
OTU1172	ASV2113
OTU1173	ASV2114
OTU1174	ASV2117, ASV2218
OTU1175	ASV2118
OTU1176	ASV2119, ASV4939, ASV9119
OTU1177	ASV2120, ASV11460
OTU1178	ASV2121, ASV2983, ASV3022, ASV5274
OTU1179	ASV2125, ASV5760, ASV7291
OTU1180	ASV2129
OTU1181	ASV2130, ASV3809
OTU1182	ASV2132, ASV7817
OTU1183	ASV2133, ASV9224
OTU1184	ASV2136
OTU1185	ASV2137, ASV10937
OTU1186	ASV2139, ASV10774
OTU1187	ASV2140, ASV7652, ASV9446
OTU1188	ASV2141, ASV4961
OTU1189	ASV2143
OTU1190	ASV2148, ASV6734, ASV9849
OTU1191	ASV2150
OTU1192	ASV2151, ASV7784
OTU1193	ASV2155
OTU1194	ASV2158
OTU1195	ASV2160, ASV6768, ASV8729, ASV9142, ASV10558, ASV11860
OTU1196	ASV2165
OTU1197	ASV2166
OTU1198	ASV2170, ASV8208
OTU1199	ASV2171
OTU1200	ASV2177, ASV8716
OTU1201	ASV2178
OTU1202	ASV2181, ASV3462
OTU1203	ASV2182
OTU1204	ASV2183
OTU1205	ASV2184, ASV11496
OTU1206	ASV2188, ASV10152
OTU1207	ASV2189, ASV5177
OTU1208	ASV2193
OTU1209	ASV2194, ASV4175, ASV7809, ASV8769, ASV11098
OTU1210	ASV2195, ASV3528
OTU1211	ASV2198
OTU1212	ASV2199, ASV11744
OTU1213	ASV2207
OTU1214	ASV2208
OTU1215	ASV2209
OTU1216	ASV2210, ASV5550
OTU1217	ASV2212
OTU1218	ASV2214, ASV4845
OTU1219	ASV2215
OTU1220	ASV2216
OTU1221	ASV2219, ASV4577, ASV11215
OTU1222	ASV2224
OTU1223	ASV2227
OTU1224	ASV2232
OTU1225	ASV2236, ASV2629, ASV3569
OTU1226	ASV2238
OTU1227	ASV2240
OTU1228	ASV2242
OTU1229	ASV2243, ASV10717
OTU1230	ASV2244
OTU1231	ASV2248
OTU1232	ASV2249, ASV2424, ASV9364
OTU1233	ASV2251
OTU1234	ASV2252
OTU1235	ASV2253, ASV7106, ASV11096
OTU1236	ASV2259, ASV5586
OTU1237	ASV2261, ASV3641, ASV5769, ASV7214
OTU1238	ASV2262, ASV2471
OTU1239	ASV2264
OTU1240	ASV2266, ASV3524, ASV3811, ASV9158
OTU1241	ASV2269, ASV7984
OTU1242	ASV2276, ASV2971, ASV4149, ASV5364
OTU1243	ASV2278, ASV9324
OTU1244	ASV2279
OTU1245	ASV2280
OTU1246	ASV2284
OTU1247	ASV2288
OTU1248	ASV2289, ASV4232, ASV8931, ASV9216, ASV10378
OTU1249	ASV2290
OTU1250	ASV2291, ASV8633, ASV11750
OTU1251	ASV2293, ASV8362
OTU1252	ASV2294, ASV5835, ASV12024
OTU1253	ASV2295
OTU1254	ASV2296
OTU1255	ASV2298
OTU1256	ASV2301, ASV4357
OTU1257	ASV2302
OTU1258	ASV2304
OTU1259	ASV2309, ASV3736
OTU1260	ASV2310, ASV2567, ASV3082, ASV3654, ASV4497, ASV4673, ASV5001
OTU1261	ASV2311, ASV2670
OTU1262	ASV2315
OTU1263	ASV2317, ASV5493
OTU1264	ASV2320
OTU1265	ASV2321
OTU1266	ASV2322, ASV7014
OTU1267	ASV2323, ASV3300, ASV4478
OTU1268	ASV2324
OTU1269	ASV2325
OTU1270	ASV2328, ASV6568, ASV6869
OTU1271	ASV2329, ASV6878
OTU1272	ASV2332
OTU1273	ASV2334
OTU1274	ASV2336
OTU1275	ASV2339, ASV2833, ASV4238, ASV6594, ASV7329
OTU1276	ASV2345
OTU1277	ASV2347
OTU1278	ASV2348, ASV7911, ASV8091
OTU1279	ASV2349, ASV5346, ASV6343, ASV6817, ASV10282, ASV10374, ASV10472, ASV11251
OTU1280	ASV2351, ASV2706, ASV10162
OTU1281	ASV2352
OTU1282	ASV2355, ASV3523
OTU1283	ASV2358
OTU1284	ASV2360, ASV11465
OTU1285	ASV2361, ASV7189
OTU1286	ASV2362, ASV5052, ASV6939
OTU1287	ASV2365
OTU1288	ASV2366, ASV7064, ASV7070
OTU1289	ASV2371
OTU1290	ASV2372
OTU1291	ASV2373, ASV5603
OTU1292	ASV2374
OTU1293	ASV2378, ASV3099
OTU1294	ASV2381, ASV2794, ASV3253, ASV4011, ASV5269, ASV5503, ASV6224, ASV7915, ASV10491
OTU1295	ASV2383
OTU1296	ASV2384
OTU1297	ASV2385, ASV6443, ASV9071
OTU1298	ASV2386
OTU1299	ASV2387
OTU1300	ASV2388
OTU1301	ASV2389
OTU1302	ASV2393
OTU1303	ASV2400, ASV9880
OTU1304	ASV2406, ASV6963, ASV7351, ASV7824
OTU1305	ASV2407
OTU1306	ASV2409, ASV4395
OTU1307	ASV2410
OTU1308	ASV2414
OTU1309	ASV2415
OTU1310	ASV2418
OTU1311	ASV896, ASV2419, ASV3101, ASV3109, ASV3433, ASV3916, ASV6964, ASV8684, ASV9720
OTU1312	ASV2420
OTU1313	ASV2421
OTU1314	ASV2422, ASV7787
OTU1315	ASV2427, ASV4061, ASV5978, ASV6394, ASV7156, ASV11027
OTU1316	ASV2428, ASV4450
OTU1317	ASV2430
OTU1318	ASV2432
OTU1319	ASV2435
OTU1320	ASV2437, ASV7693, ASV8534, ASV10992
OTU1321	ASV2441
OTU1322	ASV2443, ASV4967, ASV5160, ASV7694, ASV7883, ASV10689
OTU1323	ASV2446, ASV2815
OTU1324	ASV2447, ASV3758, ASV4318, ASV5901, ASV5938, ASV9081, ASV10630, ASV11545
OTU1325	ASV2450
OTU1326	ASV2451
OTU1327	ASV2459, ASV3123, ASV7819
OTU1328	ASV2461, ASV6421
OTU1329	ASV2462, ASV7034
OTU1330	ASV2463
OTU1331	ASV2466, ASV2811, ASV6031, ASV7220
OTU1332	ASV2468
OTU1333	ASV2470
OTU1334	ASV2472, ASV3837
OTU1335	ASV2474, ASV4347, ASV9023
OTU1336	ASV2475
OTU1337	ASV2476
OTU1338	ASV2477, ASV8147
OTU1339	ASV2478, ASV4035, ASV11965
OTU1340	ASV2480, ASV5540
OTU1341	ASV2481
OTU1342	ASV2484, ASV5790
OTU1343	ASV2485, ASV5702, ASV8858
OTU1344	ASV2486, ASV5602, ASV9764
OTU1345	ASV2489, ASV4844, ASV6278, ASV6775
OTU1346	ASV2454, ASV2490, ASV6285, ASV6571, ASV9841, ASV10537
OTU1347	ASV2491, ASV7017
OTU1348	ASV2492
OTU1349	ASV2493, ASV3137, ASV5276, ASV7118, ASV8921
OTU1350	ASV2496
OTU1351	ASV2498, ASV3947, ASV6592, ASV7741
OTU1352	ASV2499
OTU1353	ASV2502
OTU1354	ASV2503, ASV2618, ASV5294, ASV8264, ASV9484
OTU1355	ASV2504
OTU1356	ASV2508, ASV9505
OTU1357	ASV2511, ASV9030
OTU1358	ASV2513
OTU1359	ASV2516
OTU1360	ASV2517, ASV6760
OTU1361	ASV2518, ASV3616, ASV8897
OTU1362	ASV2519
OTU1363	ASV2521, ASV4629
OTU1364	ASV2523
OTU1365	ASV2524, ASV6800
OTU1366	ASV2527, ASV5318
OTU1367	ASV2529
OTU1368	ASV2532, ASV6128, ASV8042, ASV8923, ASV10661
OTU1369	ASV2534
OTU1370	ASV2535, ASV8231, ASV10467, ASV11578
OTU1371	ASV2537
OTU1372	ASV2538, ASV5647
OTU1373	ASV2539
OTU1374	ASV2540, ASV6699, ASV11625
OTU1375	ASV2548, ASV3065
OTU1376	ASV2551, ASV9456, ASV10622
OTU1377	ASV2554
OTU1378	ASV2556
OTU1379	ASV2560
OTU1380	ASV2561, ASV7427, ASV10184
OTU1381	ASV2563
OTU1382	ASV2565, ASV3187
OTU1383	ASV2568
OTU1384	ASV2569
OTU1385	ASV2570
OTU1386	ASV2571
OTU1387	ASV2572
OTU1388	ASV2575
OTU1389	ASV2576
OTU1390	ASV2578
OTU1391	ASV2579, ASV6258, ASV9582, ASV9635, ASV10203
OTU1392	ASV2580
OTU1393	ASV2581
OTU1394	ASV2585, ASV3626
OTU1395	ASV2588
OTU1396	ASV2594, ASV5651
OTU1397	ASV2597
OTU1398	ASV2599
OTU1399	ASV2600
OTU1400	ASV2601
OTU1401	ASV2602, ASV5057
OTU1402	ASV2603, ASV5852, ASV9198, ASV11818
OTU1403	ASV2604
OTU1404	ASV2605, ASV5576, ASV6083, ASV6732, ASV7247
OTU1405	ASV2606
OTU1406	ASV2608
OTU1407	ASV2609, ASV10054, ASV10086
OTU1408	ASV2610, ASV3252
OTU1409	ASV2611, ASV5571
OTU1410	ASV2613, ASV7370
OTU1411	ASV2614, ASV10399
OTU1412	ASV2617
OTU1413	ASV2619
OTU1414	ASV2620, ASV6383
OTU1415	ASV2624
OTU1416	ASV2625
OTU1417	ASV2627, ASV7628
OTU1418	ASV2628
OTU1419	ASV2630, ASV4717, ASV10095, ASV10775, ASV10957
OTU1420	ASV2631
OTU1421	ASV2632, ASV7228
OTU1422	ASV2633, ASV4254, ASV7490, ASV9234
OTU1423	ASV2634
OTU1424	ASV2635
OTU1425	ASV2639
OTU1426	ASV2640, ASV3629, ASV9815
OTU1427	ASV2641
OTU1428	ASV2642, ASV11620
OTU1429	ASV2645, ASV9640
OTU1430	ASV2648, ASV7232
OTU1431	ASV2650
OTU1432	ASV2651
OTU1433	ASV2652
OTU1434	ASV2653, ASV6872
OTU1435	ASV2654, ASV4801, ASV10695
OTU1436	ASV2658, ASV4081, ASV4323, ASV7093
OTU1437	ASV2659
OTU1438	ASV2660, ASV3063, ASV10175
OTU1439	ASV2663, ASV5736, ASV5925, ASV10519, ASV11018
OTU1440	ASV2666
OTU1441	ASV2667, ASV2802, ASV7891
OTU1442	ASV2673
OTU1443	ASV2674
OTU1444	ASV2675
OTU1445	ASV2679
OTU1446	ASV2683
OTU1447	ASV2684
OTU1448	ASV2687
OTU1449	ASV2688
OTU1450	ASV2690, ASV5715
OTU1451	ASV2693, ASV2788, ASV6365, ASV8380, ASV11477
OTU1452	ASV2696, ASV9178, ASV9714
OTU1453	ASV2699
OTU1454	ASV2701, ASV6498, ASV10624
OTU1456	ASV2707
OTU1457	ASV2708
OTU1458	ASV2709, ASV8974
OTU1459	ASV2710
OTU1460	ASV2712
OTU1461	ASV2714, ASV6069
OTU1462	ASV2716
OTU1463	ASV2720, ASV5356
OTU1464	ASV2722, ASV6664
OTU1465	ASV2725
OTU1466	ASV2726
OTU1467	ASV2727
OTU1468	ASV2729
OTU1469	ASV2730
OTU1470	ASV2735
OTU1471	ASV2736, ASV4319, ASV10728, ASV10879, ASV11945
OTU1472	ASV2739, ASV3575, ASV4656, ASV7629, ASV8087
OTU1473	ASV2740, ASV9037
OTU1474	ASV2741, ASV4464
OTU1475	ASV2743
OTU1476	ASV2744, ASV4658, ASV5463, ASV6196, ASV10141
OTU1477	ASV2748
OTU1478	ASV2753, ASV3142, ASV4259, ASV10209, ASV10345, ASV10659
OTU1479	ASV2754
OTU1480	ASV2755, ASV4545, ASV6587, ASV7009, ASV7939, ASV8133, ASV8150
OTU1481	ASV2759, ASV9771
OTU1482	ASV2761
OTU1483	ASV2763, ASV3189
OTU1484	ASV2764
OTU1485	ASV2765
OTU1486	ASV2767, ASV11348
OTU1487	ASV2768, ASV6213
OTU1488	ASV2769
OTU1489	ASV2772
OTU1490	ASV2773
OTU1491	ASV2774, ASV6584
OTU1492	ASV2778
OTU1493	ASV2779
OTU1494	ASV2781, ASV8690, ASV9807
OTU1495	ASV2782
OTU1496	ASV2783, ASV11354
OTU1497	ASV2784
OTU1498	ASV2785
OTU1499	ASV2787, ASV8669, ASV10337
OTU1500	ASV2789
OTU1501	ASV2791
OTU1502	ASV2792
OTU1503	ASV2793
OTU1504	ASV2795, ASV3075, ASV4913, ASV10091
OTU1505	ASV2796
OTU1506	ASV2797
OTU1507	ASV2798
OTU1508	ASV2801, ASV5221
OTU1509	ASV2805
OTU1510	ASV2806, ASV8391, ASV9623
OTU1511	ASV2807
OTU1512	ASV2809
OTU1513	ASV2810
OTU1514	ASV2812, ASV11621
OTU1515	ASV2813
OTU1516	ASV2816, ASV3804, ASV4700, ASV9869
OTU1517	ASV2817
OTU1518	ASV2819, ASV10415
OTU1519	ASV2820, ASV3098
OTU1520	ASV2821
OTU1521	ASV2822
OTU1522	ASV2824, ASV4494
OTU1523	ASV2825, ASV3013
OTU1524	ASV2826
OTU1525	ASV2829
OTU1526	ASV2832
OTU1527	ASV2835
OTU1528	ASV2838
OTU1529	ASV2839
OTU1530	ASV2840
OTU1531	ASV2841, ASV9109
OTU1532	ASV2842
OTU1533	ASV2843, ASV4936, ASV6597
OTU1534	ASV2846, ASV6544
