OTU	ASVs
OTU89	ASV123, ASV263, ASV1531, ASV1821, ASV7135, ASV10974
OTU90	ASV124, ASV2061, ASV2562, ASV4118, ASV6660, ASV9995
OTU91	ASV125, ASV7390, ASV9431
OTU92	ASV126, ASV1082, ASV2417, ASV4387, ASV7853, ASV8891
OTU93	ASV127, ASV555, ASV1292, ASV1753, ASV2045, ASV2442, ASV2520, ASV2657, ASV3001, ASV3083, ASV3328, ASV3559, ASV5145
OTU94	ASV129, ASV4030
OTU95	ASV130, ASV137, ASV3445
OTU96	ASV131, ASV160, ASV322, ASV386, ASV441, ASV542, ASV641, ASV1124, ASV1145, ASV2001, ASV2217, ASV5642
OTU97	ASV133, ASV811, ASV4182
OTU98	ASV135
OTU99	ASV138
OTU100	ASV139, ASV846, ASV3368, ASV5118, ASV7610, ASV10059, ASV10306, ASV10770
OTU101	ASV140
OTU102	ASV141, ASV381
OTU103	ASV143, ASV724, ASV802, ASV2926, ASV3263, ASV4255, ASV6030, ASV6299, ASV7489, ASV8225, ASV8433, ASV8860, ASV9633, ASV10050, ASV10100, ASV11037
OTU104	ASV145, ASV413, ASV487, ASV535, ASV676, ASV1267, ASV1273, ASV1553, ASV1555, ASV1584, ASV1618, ASV1632, ASV1741, ASV1922, ASV2014, ASV2106, ASV2144, ASV2287, ASV2359, ASV2433, ASV2878, ASV2883, ASV2891, ASV3175, ASV3215, ASV3251, ASV3456, ASV3530, ASV3953, ASV3989, ASV4100, ASV4128, ASV4469, ASV4654, ASV4740, ASV4940, ASV5300, ASV5429, ASV6884, ASV6972, ASV7301, ASV7551, ASV7590, ASV8309, ASV8591, ASV8764, ASV9197, ASV9584, ASV10864, ASV11364, ASV11527, ASV11669
OTU105	ASV146
OTU106	ASV147, ASV11774, ASV11868
OTU107	ASV148, ASV243, ASV870, ASV10247
OTU108	ASV151, ASV273, ASV738, ASV871, ASV986, ASV1012, ASV1166, ASV1169, ASV1179, ASV1297, ASV1325, ASV1347, ASV1501, ASV1543, ASV1565, ASV1606, ASV1661, ASV1835, ASV2028, ASV2074, ASV2080, ASV2110, ASV2146, ASV2179, ASV2316, ASV2402, ASV2411, ASV2416, ASV2573, ASV2808, ASV3231, ASV3355, ASV3470, ASV3539, ASV3625, ASV3638, ASV3771, ASV3777, ASV3797, ASV3823, ASV3867, ASV3935, ASV3979, ASV4068, ASV4098, ASV4217, ASV4414, ASV4500, ASV4587, ASV4613, ASV4855, ASV4978, ASV5272, ASV5410, ASV5751, ASV6040, ASV6168, ASV6610, ASV6681, ASV6762, ASV6823, ASV7095, ASV7435, ASV7709, ASV7836, ASV8175, ASV8939, ASV9024, ASV9850, ASV10604, ASV11538, ASV11890
OTU109	ASV152, ASV2305
OTU110	ASV154, ASV1562, ASV3712, ASV4678, ASV9940, ASV10766
OTU111	ASV155, ASV467, ASV616, ASV3905, ASV3924, ASV4268, ASV5987, ASV9080
OTU112	ASV156
OTU113	ASV158, ASV1866, ASV2857, ASV3993, ASV5515, ASV7570
OTU114	ASV159, ASV1201
OTU115	ASV161, ASV844, ASV911, ASV1095, ASV1432, ASV1505, ASV1918, ASV2509, ASV2766, ASV2915, ASV2947, ASV3537, ASV3711, ASV7001, ASV8680, ASV9306, ASV10495, ASV11525, ASV11782
OTU116	ASV162, ASV280, ASV933
OTU117	ASV163, ASV204, ASV317, ASV864, ASV1423, ASV2087, ASV2126, ASV2375, ASV2531, ASV2678, ASV2700, ASV2702, ASV2985, ASV3071, ASV3350, ASV3840, ASV5411, ASV5904, ASV7925, ASV8928, ASV10134, ASV11618
OTU118	ASV165, ASV548
OTU119	ASV166, ASV399, ASV2398, ASV2413, ASV5643, ASV5719, ASV6032, ASV7601, ASV7890, ASV9111
OTU120	ASV170, ASV447, ASV1563, ASV4501, ASV6624, ASV7792, ASV9322
OTU121	ASV171
OTU122	ASV172, ASV784, ASV1872, ASV3217, ASV8615
OTU123	ASV173, ASV196, ASV202, ASV359, ASV761, ASV1708, ASV1954, ASV2337, ASV3149, ASV3247, ASV3497, ASV4842, ASV4864, ASV4890, ASV5232, ASV5879, ASV6238, ASV7719, ASV8259, ASV9499, ASV9732, ASV10212, ASV11032
OTU124	ASV174, ASV2246, ASV4392, ASV5735, ASV5799, ASV7275, ASV8588, ASV10679, ASV10959, ASV11365
OTU125	ASV175, ASV10785
OTU126	ASV176
OTU127	ASV177
OTU128	ASV181, ASV357, ASV10073, ASV10905
OTU129	ASV182
OTU130	ASV183, ASV190, ASV491, ASV890, ASV1075, ASV1238, ASV2434, ASV2456, ASV10311, ASV10865
OTU131	ASV185, ASV2886, ASV4074, ASV4087, ASV6039, ASV8964, ASV9018
OTU132	ASV186, ASV1754, ASV3644, ASV4689
OTU133	ASV188, ASV2776
OTU134	ASV189
OTU135	ASV191, ASV2256, ASV2444, ASV2587, ASV2698, ASV3317, ASV3522, ASV4027, ASV4417, ASV5195, ASV5711, ASV6857, ASV8819, ASV8946, ASV9689, ASV11026, ASV11216
OTU136	ASV192, ASV423, ASV463, ASV699, ASV5456
OTU137	ASV194, ASV528, ASV1027, ASV2501, ASV4311, ASV7191, ASV7526, ASV8168, ASV9792
OTU138	ASV199, ASV268, ASV805, ASV1069, ASV1376, ASV1405, ASV1940, ASV2068, ASV2367, ASV6138, ASV8022, ASV8346, ASV10584
OTU139	ASV200
OTU140	ASV201, ASV380, ASV1010, ASV1818, ASV2076, ASV7235, ASV11388
OTU141	ASV203, ASV8991
OTU142	ASV205, ASV11657
OTU143	ASV206, ASV222, ASV2961, ASV4332, ASV8152, ASV10615
OTU144	ASV209, ASV330, ASV2156, ASV2174, ASV4595
OTU145	ASV210, ASV1892, ASV2898
OTU146	ASV211, ASV434, ASV726
OTU147	ASV212, ASV1538, ASV2528, ASV7236, ASV8210
